title,category,category_name,slug,anzsco,median_pay_annual,median_pay_weekly,median_ft_hourly,entry_education,skill_level,employed,projected_2029,projected_2034,outlook_pct,outlook_desc,part_time_pct,female_pct,median_age,url
Storepersons,machinery-operators-and-drivers,Machinery Operators and Drivers,storepersons,7411,64324,1237,31,Year 12,4,168200,188964,200931,9.0,Moderate growth,30,29,34,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/7411-storepersons
Car Detailers,labourers,Labourers,car-detailers,8111,59540,1145,25,Year 11 or below,5,17600,17596,17986,-2.1,Declining,43,8,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8111-car-detailers
Commercial Cleaners,labourers,Labourers,commercial-cleaners,8112,61984,1192,30,Year 11 or below,5,146900,148269,153294,-0.6,Declining,60,59,46,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8112-commercial-cleaners
Domestic Cleaners,labourers,Labourers,domestic-cleaners,8113,,,,Year 11 or below,5,34200,35520,36673,0.1,Stable,81,82,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8113-domestic-cleaners
Housekeepers,labourers,Labourers,housekeepers,8114,65104,1252,28,Year 11 or below,5,33900,32676,34056,-1.3,Declining,75,83,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8114-housekeepers
Laundry Workers,labourers,Labourers,laundry-workers,8115,59280,1140,28,Year 11 or below,5,11600,13326,13926,0.1,Stable,43,64,50,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8115-laundry-workers
Other Cleaners,labourers,Labourers,other-cleaners,8116,65000,1250,31,Year 11 or below,5,14000,12608,12961,-0.8,Declining,45,8,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8116-other-cleaners
Building and Plumbing Labourers,labourers,Labourers,building-and-plumbing-labourers,8211,84968,1634,38,Year 11 or below,5,73100,72004,74281,2.5,Stable,17,7,33,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8211-building-and-plumbing-labourers
Concreters,labourers,Labourers,concreters,8212,96460,1855,42,Year 11 or below,5,37500,36910,37976,2.0,Stable,12,3,34,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8212-concreters
Fencers,labourers,Labourers,fencers,8213,,,30,Year 11 or below,4,14000,14591,15014,1.8,Stable,22,5,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8213-fencers
Insulation and Home Improvement Installers,labourers,Labourers,insulation-and-home-improvement-installers,8214,88920,1710,44,Certificate III/IV,4,25900,27290,28109,2.4,Stable,20,2,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8214-insulation-and-home-improvement-installers
Paving and Surfacing Labourers,labourers,Labourers,paving-and-surfacing-labourers,8215,75712,1456,36,Year 11 or below,5,6100,6903,7106,-1.8,Declining,4,0,33,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8215-paving-and-surfacing-labourers
Railway Track Workers,labourers,Labourers,railway-track-workers,8216,120848,2324,56,Certificate III/IV,4,6000,6245,6404,-1.0,Declining,3,7,42,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8216-railway-track-workers
Structural Steel Construction Workers,labourers,Labourers,structural-steel-construction-workers,8217,162240,3120,70,Certificate III/IV,4,26800,22736,23501,1.0,Stable,9,1,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8217-structural-steel-construction-workers
Other Construction and Mining Labourers,labourers,Labourers,other-construction-and-mining-labourers,8219,89440,1720,35,Certificate III/IV,5,8200,5905,6100,-1.2,Declining,8,13,32,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8219-other-construction-and-mining-labourers
Food and Drink Factory Workers,labourers,Labourers,food-and-drink-factory-workers,8311,71708,1379,32,Year 11 or below,5,29000,30154,31110,-0.4,Declining,25,37,43,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8311-food-and-drink-factory-workers
"Meat Boners and Slicers, and Slaughterers",labourers,Labourers,meat-boners-and-slicers-and-slaughterers,8312,68900,1325,31,Year 11 or below,4,5500,5609,5742,0.2,Stable,5,17,34,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8312-meat-boners-and-slicers-and-slaughterers
"Meat, Poultry and Seafood Process Workers",labourers,Labourers,meat-poultry-and-seafood-process-workers,8313,63492,1221,30,Year 11 or below,5,12900,13336,13681,0.2,Stable,17,31,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8313-meat-poultry-and-seafood-process-workers
Packers,labourers,Labourers,packers,8321,63232,1216,30,Year 12,5,60200,63956,66291,-0.0,Stable,41,59,35,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8321-packers
Product Assemblers,labourers,Labourers,product-assemblers,8322,57928,1114,29,Year 11 or below,5,23300,21553,22397,-5.1,Declining,18,29,45,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8322-product-assemblers
Metal Engineering Process Workers,labourers,Labourers,metal-engineering-process-workers,8391,72436,1393,34,Year 11 or below,5,7800,8715,9012,-5.1,Declining,20,8,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8391-metal-engineering-process-workers
Plastics and Rubber Factory Workers,labourers,Labourers,plastics-and-rubber-factory-workers,8392,94172,1811,41,Year 11 or below,5,2000,1576,1622,-6.9,Declining,22,28,30,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8392-plastics-and-rubber-factory-workers
Product Quality Controllers,labourers,Labourers,product-quality-controllers,8393,74568,1434,35,Bachelor degree,4,12300,12803,13144,-3.9,Declining,13,37,45,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8393-product-quality-controllers
Timber and Wood Process Workers,labourers,Labourers,timber-and-wood-process-workers,8394,60684,1167,29,Year 11 or below,5,4600,5083,5080,-3.7,Declining,15,14,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8394-timber-and-wood-process-workers
Other Factory Process Workers,labourers,Labourers,other-factory-process-workers,8399,74984,1442,37,Year 11 or below,5,12200,11168,11582,-1.6,Declining,30,17,30,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8399-other-factory-process-workers
Aquaculture Workers,labourers,Labourers,aquaculture-workers,8411,,,,Year 11 or below,5,700,906,973,1.5,Stable,43,10,25,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8411-aquaculture-workers
Crop Farm Workers,labourers,Labourers,crop-farm-workers,8412,,,,Year 11 or below,5,24100,20684,21662,0.5,Stable,27,30,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8412-crop-farm-workers
Forestry and Logging Workers,labourers,Labourers,forestry-and-logging-workers,8413,,,,Year 11 or below,4,2400,2187,2291,1.2,Stable,25,21,30,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8413-forestry-and-logging-workers
Garden and Nursery Labourers,labourers,Labourers,garden-and-nursery-labourers,8414,,,,Year 11 or below,5,32700,35004,36218,0.4,Stable,37,20,48,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8414-garden-and-nursery-labourers
Livestock Farm Workers,labourers,Labourers,livestock-farm-workers,8415,,,,Year 11 or below,5,28300,33085,34269,1.1,Stable,45,37,31,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8415-livestock-farm-workers
Mixed Crop and Livestock Farm Workers,labourers,Labourers,mixed-crop-and-livestock-farm-workers,8416,,,,Year 11 or below,5,3500,4178,4332,1.6,Stable,45,31,26,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8416-mixed-crop-and-livestock-farm-workers
"Other Farm, Forestry and Garden Workers",labourers,Labourers,other-farm-forestry-and-garden-workers,8419,,,,Certificate III/IV,4,15800,13847,14257,0.2,Stable,31,21,40,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8419-other-farm-forestry-and-garden-workers
Fast Food Cooks,labourers,Labourers,fast-food-cooks,8511,61308,1179,31,Year 11 or below,5,50000,52727,55162,4.7,Stable,84,33,17,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8511-fast-food-cooks
Food Trades Assistants,labourers,Labourers,food-trades-assistants,8512,,,,Year 11 or below,5,4600,5819,6028,2.2,Stable,60,69,27,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8512-food-trades-assistants
Kitchenhands,labourers,Labourers,kitchenhands,8513,65000,1250,31,Year 11 or below,5,154100,157916,166723,5.4,Moderate growth,80,54,23,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8513-kitchenhands
Freight and Furniture Handlers,labourers,Labourers,freight-and-furniture-handlers,8911,74568,1434,33,Year 12,5,15500,16348,16772,-1.4,Declining,34,8,33,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8911-freight-and-furniture-handlers
Shelf Fillers,labourers,Labourers,shelf-fillers,8912,,,,Year 12,5,75100,68820,70025,-2.2,Declining,78,40,24,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8912-shelf-fillers
Caretakers,labourers,Labourers,caretakers,8991,70616,1358,34,Certificate III/IV,5,7200,6303,6526,0.1,Stable,40,32,57,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8991-caretakers
Deck and Fishing Hands,labourers,Labourers,deck-and-fishing-hands,8992,,,35,Certificate III/IV,4,6700,6730,6960,0.7,Stable,20,11,39,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8992-deck-and-fishing-hands
Handypersons,labourers,Labourers,handypersons,8993,67964,1307,33,Certificate III/IV,5,45600,45824,47661,3.4,Stable,46,8,52,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8993-handypersons
Motor Vehicle Parts and Accessories Fitters,labourers,Labourers,motor-vehicle-parts-and-accessories-fitters,8994,67288,1294,33,Year 11 or below,4,14700,14199,14668,-0.3,Declining,15,7,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8994-motor-vehicle-parts-and-accessories-fitters
Printing Assistants and Table Workers,labourers,Labourers,printing-assistants-and-table-workers,8995,62400,1200,30,Year 11 or below,4,2500,2327,2418,-4.0,Declining,44,40,37,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8995-printing-assistants-and-table-workers
Recycling and Rubbish Collectors,labourers,Labourers,recycling-and-rubbish-collectors,8996,66144,1272,32,Year 11 or below,5,3800,4363,4501,1.9,Stable,40,14,41,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8996-recycling-and-rubbish-collectors
Vending Machine Attendants,labourers,Labourers,vending-machine-attendants,8997,66872,1286,34,Year 12,5,4100,4596,4777,1.3,Stable,76,61,23,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8997-vending-machine-attendants
Other Miscellaneous Labourers,labourers,Labourers,other-miscellaneous-labourers,8999,76960,1480,36,Year 11 or below,5,70900,68642,70916,-0.1,Declining,44,24,38,https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations/8999-other-miscellaneous-labourers
